PROTEIN:10472	Interferon Alpha-16 (ifn-alpha-16)	Target
PROTEIN:15166	Olfactory Receptor 5h2 (olfactory Receptor Or3-10)	Target
GENE:19707	Small Nucleolar Rna Host Gene 3 (non-protein Coding)	Gene
PHENOTYPE:1977	Recurrent Aspergillus Infections	Phenotype
GENE:1243	Anti-silencing Function 1a Histone Chaperone	Gene
COMPOUND:1511	Sulfamerazine	Compound
GENE:21625	Transmembrane Protein 170a	Gene
GENE:17557	Rna, 7sl, Cytoplasmic 3	Gene
DISEASE:13774	Myelofibrosis With Myeloid Metaplasia, Somatic	Disease
GENE:7180	Gli Family Zinc Finger 3	Gene
PHENOTYPE:3631	Abnormal Vena Cava Morphology	Phenotype
COMPOUND:42944	Gcflwohnwfxnsv-hkaoscsesa-n	Compound
SIDE_EFFECT:1551	Hydronephrosis	Side Effect
DISEASE:13236	Sub-cortical Nodular Heterotopia	Disease
COMPOUND:34611	Ccbnosmftuqqlz-ogeqhfgcsa-n	Compound
PROTEIN:13327	G-protein-signaling Modulator 1 (activator Of G-protein Signaling 3)	Target
ATC:S01AA16	Rifamycin	Atc
PATHWAY:1094	Alkbh2 Mediated Reversal Of Alkylation Damage	Pathway
GENE:26945	Olfactory Receptor Family 5 Subfamily A Member 1	Gene
PROTEIN:13868	Ran-binding Protein 17	Target
COMPOUND:6975	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	Compound
GENE:13460	Noc3 Like Dna Replication Regulator	Gene
SIDE_EFFECT:1624	Metastatic Neoplasm	Side Effect
COMPOUND:14342	Dexamethasone	Compound
PROTEIN:12050	Protein-l-histidine N-pros-methyltransferase (ec 2.1.1.-)	Target
PHENOTYPE:4138	Rotated Maxillary Central Incisors	Phenotype
COMPOUND:37814	3-(2,3-dihydroxy-3-methylbutyl)resveratrol	Compound
COMPOUND:3926	4-bromo-3-hydroxy-3-methyl Butyl Diphosphate	Compound
ATC:C01DX05	Carbocromen	Atc
PROTEIN:815	Alpha-7 Nicotinic Cholinergic Receptor Subunit	Target
GENE:7888	High Density Lipoprotein Binding Protein	Gene
DISEASE:2983	Skin Diseases, Viral	Disease
COMPOUND:25272	Ndjubpmewuvpgm-zetcqymhsa-n	Compound
PROTEIN:9047	Low-density Lipoprotein Receptor-related Protein 11 (lrp-11)	Target
PROTEIN:8013	Sh2b Adapter Protein 2 (adapter Protein With Pleckstrin Homology And Src Homology 2 Domains)	Target
COMPOUND:9636	Epacadostat	Compound
GENE:13587	Natriuretic Peptide B	Gene
PHENOTYPE:5389	Posterior Helix Pit	Phenotype
SIDE_EFFECT:3689	Injection Site Thrombosis	Side Effect
GENE:15466	Phosphatase And Actin Regulator 2	Gene
PROTEIN:11216	Nedd8-conjugating Enzyme Ubc12 (ec 2.3.2.34)	Target
COMPOUND:5565	Atacicept	Compound
PROTEIN:3049	Cytochrome C4	Target
DISEASE:1006	Enteritis	Disease
COMPOUND:24144	(e)-1-(2,4-dihydroxy-6-methoxy-3-methylphenyl)-3-phenylprop-2-en-1-one	Compound
COMPOUND:35619	Kxiwbeacjpyxim-vmqctcbbsa-o	Compound
GENE:17978	Ribosomal Protein L34	Gene
DISEASE:7273	Cardiac Diverticulum	Disease
SIDE_EFFECT:102	Petechiae	Side Effect
COMPOUND:41905	Uorjsdwcvyzjla-uhfffaoysa-o	Compound
GENE:22010	Tryptophan Hydroxylase 2	Gene
COMPOUND:21055	Uzxksnxopfpokk-mdzdmxlpsa-n	Compound
PROTEIN:2172	Response Regulator Pled	Target
DISEASE:16760	Meier-gorlin Syndrome 8	Disease
ATC:J02AX04	Caspofungin	Atc
PROTEIN:19816	Nacht, Lrr And Pyd Domains-containing Protein 14 (nucleotide-binding Oligomerization Domain Protein 5)	Target
PROTEIN:8278	Wd Repeat-containing Protein 25	Target
GENE:21108	T-box 5	Gene
INDICATION:367	Welts	Indication
PROTEIN:6770	Lysyl Oxidase	Target
COMPOUND:8010	Tibolone	Compound
COMPOUND:9127	Eucalyptus Oil	Compound
ATC:V08AB04	Iopamidol	Atc
DISEASE:13570	Spinocerebellar Ataxia Type 49	Disease
PROTEIN:14185	Tetraspanin-1 (tspan-1)	Target
COMPOUND:6619	Cis-(1r,2s)-2-amino-1,2,3,4-tetrahydronaphthalen-1-ol	Compound
COMPOUND:21048	Dihydroisoplagiochin A	Compound
ATC:S01FB01	Phenylephrine	Atc
PHENOTYPE:5080	Horizontal Opticokinetic Nystagmus	Phenotype
COMPOUND:840	Terbinafine	Compound
SIDE_EFFECT:1876	Electrocardiogram Change	Side Effect
COMPOUND:31905	Hytggnimzxfors-kcbkdlqlsa-n	Compound
SIDE_EFFECT:2810	Clonus	Side Effect
COMPOUND:1953	Cyclohexanone	Compound
PROTEIN:10087	Coiled-coil Domain-containing Protein 50 (protein Ymer)	Target
SIDE_EFFECT:3536	Evans Syndrome	Side Effect
PROTEIN:12400	Replication Factor C Subunit 4 (activator 1 37 Kda Subunit)	Target
COMPOUND:18604	4-[3-(4-hydroxyphenyl)propyl]benzene-1,3-diol	Compound
PROTEIN:3400	Cytochrome C2	Target
PROTEIN:14738	Protein Fam131c	Target
INDICATION:755	Sexually Transmitted Diseases	Indication
