MONDO_5312	Pouchitis	Disease
GO_61268	Mesonephric Interstitial Fibroblast Fate Commitment	Biological process
GO_1904448	Regulation Of Aspartate Secretion	Biological process
GO_5334	Norepinephrine:sodium Symporter Activity	Molecular function
HPO_31261	Bladder Polyp	Effect/Phenotype
MONDO_4808	Benign Mammary Dysplasia	Disease
GO_47596	6-methylsalicylate Decarboxylase Activity	Molecular function
HPO_4347	Weakness Of Muscles Of Respiration	Effect/Phenotype
GO_38139	Erbb4-egfr Complex	Cellular component
GO_60380	Regulation Of Single-stranded Telomeric Dna Binding	Biological process
NCBI_25939	Samhd1	Gene/Protein
GO_61131	Pancreas Field Specification	Biological process
MONDO_5879	Ocular Toxoplasmosis	Disease
GO_1900660	Positive Regulation Of Emericellamide Biosynthetic Process	Biological process
MONDO_15104	Porphyria Cutanea Tarda	Disease
GO_90102	Cochlea Development	Biological process
GO_90154	Positive Regulation Of Sphingolipid Biosynthetic Process	Biological process
UBERON_19279	Superior Rostral Gyrus	Anatomy
NCBI_189	Agxt	Gene/Protein
DrugBank_DB09261	Certoparin	Drug
GO_42279	Nitrite Reductase (cytochrome, Ammonia-forming) Activity	Molecular function
GO_34899	Trimethylamine Monooxygenase Activity	Molecular function
HPO_430000	Abnormality Of The Frontal Bone	Effect/Phenotype
DrugBank_DB03245	S-4-nitrobutyryl-coa	Drug
CTD_C031721	Naphthalene	Exposure
DrugBank_DB01545	Ethyl Loflazepate	Drug
UBERON_2031	Epithelium Of Bronchus	Anatomy
UBERON_2657	Posterior Parahippocampal Gyrus	Anatomy
NCBI_245932	Defb119	Gene/Protein
UBERON_7640	Hippocampus Stratum Lacunosum Moleculare	Anatomy
MONDO_12927	Chromosome 1q41-q42 Deletion Syndrome	Disease
GO_30926	Calcium Incorporation Into Metallo-oxygen Cluster Via Bis-l-aspartato Tris-l-glutamato L-histidino Calcium Tetramanganese Tetroxide	Biological process
MONDO_291	Granulomatous Amebic Encephalitis	Disease
MONDO_1492	Kyphoscoliotic Heart Disease	Disease
HPO_5185	Global Systolic Dysfunction	Effect/Phenotype
MONDO_3389	Epithelial-myoepithelial Carcinoma	Disease
GO_51199	Regulation Of Prosthetic Group Metabolic Process	Biological process
NCBI_56606	Slc2a9	Gene/Protein
DrugBank_DB02789	Pregnenolone	Drug
NCBI_78990	Otub2	Gene/Protein
UBERON_2001252	Pharyngobranchial 3 Bone	Anatomy
HPO_6530	Abnormal Pulmonary Interstitial Morphology	Effect/Phenotype
MONDO_956	Small Intestine Cancer	Disease
DrugBank_DB06781	Difluprednate	Drug
